titleId,seasonNumber,title,date,av_rating,share,genres
tt0810788,5,Burn Notice,2011,8.2586,0.29,"Action,Crime,Drama"
tt0904208,5,Californication,2012,7.8448,0.69,"Comedy,Drama"
tt1983079,5,Call the Midwife,2016,8.7901,0.04,"Drama,History"
tt1219024,5,Castle,2013,8.6541,1.15,"Comedy,Crime,Drama"
tt2364582,5,Agents of S.H.I.E.L.D.,2018,8.8967,2.42,"Action,Adventure,Drama"
tt3398228,5,BoJack Horseman,2018,9.4738,0.45,"Animation,Comedy,Drama"
tt2261391,5,Chicago Fire,2017,8.8944,0.18,"Action,Drama"
tt2805096,5,Chicago P.D.,2018,8.7741,0.31,"Action,Crime,Drama"
tt3205802,5,How to Get Away with Murder,2018,8.6119,0.06,"Crime,Drama,Mystery"
tt0934814,5,Chuck,2011,8.6545,0.71,"Action,Comedy,Drama"
tt3501074,5,Madam Secretary,2018,7.5,0.01,Drama
tt2660806,5,Mom,2018,7.962,0.25,"Comedy,Drama,Romance"
tt3281796,5,Power,2018,8.7658,0.18,"Crime,Drama"
tt2661044,5,The 100,2018,9.0654,1.52,"Drama,Mystery,Sci-Fi"
tt2741602,5,The Blacklist,2018,8.4026,1.05,"Crime,Drama,Mystery"
tt3107288,5,The Flash,2018,8.5,0.14,"Action,Adventure,Drama"
tt2402207,5,The Last Ship,2018,7.9254,0.12,"Action,Drama,Sci-Fi"
tt1495708,5,Covert Affairs,2014,8.2527,0.07,"Action,Crime,Drama"
tt2632424,5,The Originals,2018,8.8019,0.51,"Drama,Fantasy,Horror"
tt2874692,5,When Calls the Heart,2018,8.6355,0.1,Drama
tt0452046,5,Criminal Minds,2010,7.029,2.93,"Crime,Drama,Mystery"
tt0395843,5,CSI: NY,2009,8.1069,0.46,"Action,Crime,Drama"
tt0914387,5,Damages,2012,8.4696,0.14,"Crime,Drama,Mystery"
tt1888075,5,Death in Paradise,2016,7.7663,0.05,"Crime,Drama,Mystery"
tt0410975,5,Desperate Housewives,2009,8.3822,0.92,"Comedy,Drama,Mystery"
tt0773262,5,Dexter,2010,8.7322,2.92,"Crime,Drama,Mystery"
tt0436992,5,Doctor Who,2010,8.3283,5.44,"Adventure,Drama,Family"
tt1606375,5,Downton Abbey,2015,8.4253,0.27,"Drama,Romance"
tt1280822,5,Drop Dead Diva,2013,8.5,0.01,"Comedy,Drama"
tt2191671,5,Elementary,2017,8.0232,0.44,"Crime,Drama,Mystery"
tt0387199,5,Entourage,2008,8.5783,1.03,"Comedy,Drama"
tt0796264,5,Eureka,2012,8.3299,0.28,"Adventure,Comedy,Drama"
tt1462059,5,Falling Skies,2015,7.5706,0.18,"Action,Adventure,Drama"
tt0758745,5,Friday Night Lights,2010,8.7262,0.3,"Drama,Sport"
tt1119644,5,Fringe,2012,8.7508,1.35,"Drama,Mystery,Sci-Fi"
tt0944947,5,Game of Thrones,2015,9.1323,9.63,"Action,Adventure,Drama"
tt0460644,5,Ghost Whisperer,2010,7.8727,0.05,"Drama,Fantasy"
tt1723816,5,Girls,2016,7.9589,0.13,"Comedy,Drama"
tt1327801,5,Glee,2014,8.4054,0.68,"Comedy,Drama,Music"
tt0397442,5,Gossip Girl,2012,7.3279,0.65,"Drama,Romance"
tt0413573,5,Grey's Anatomy,2009,8.9359,2.34,"Drama,Romance"
tt1830617,5,Grimm,2016,8.5377,0.41,"Drama,Fantasy,Horror"
tt1600194,5,Hawaii Five-0,2015,8.3125,0.33,"Action,Crime,Drama"
tt1094229,5,Heartland,2011,8.9,0.01,"Drama,Family"
tt1796960,5,Homeland,2015,8.429,0.85,"Crime,Drama,Mystery"
tt0412142,5,House,2009,8.7248,4.64,"Drama,Mystery"
tt1856010,5,House of Cards,2017,8.4187,1.09,Drama
tt1797404,5,House of Lies,2016,8,0,"Comedy,Drama"
